BuildingID,Max EER,Min Elec,Min Gas,Min Emissions
1,0.76,2300.7376050000003,1533.8250699999999,1.990138028
2,0.87,3827.8894877999996,2551.9263251999996,2.04982625
3,0.92,641.9695919999998,427.979728,0.5553036972
4,1.13,-247.42639296,-164.95092864000003,-0.21402382990000002
5,0.89,2296.6446726,1531.0964484,1.499745002
6,0.84,1649.1793566,1099.4529044,1.426540143
7,0.88,2941.4326055999995,1960.9550704,1.602815998
8,0.79,2180.1961794,1453.4641196000002,1.885869695
9,0.74,3973.9361856,2649.290790400001,3.4374548
10,0.96,1413.5096382000002,942.3397587999999,0.479251117
11,0.7,7751.002547999998,5167.335032,5.715132338
12,0.74,3243.9351018,2162.6234012,2.806003863
13,0.77,2032.6391922,1355.0927948,1.7582329010000002
14,0.64,5525.8144224,3683.8762816,4.278320827000002
15,0.94,2301.279357,1534.1862380000002,1.1734060899999998
16,0.77,2085.8457132,1390.5638088,1.804256542
17,1.02,793.7551284,529.1700856000001,0.6865981861
18,0.74,2906.9882429999993,1937.992162,1.789520207
19,0.84,1510.4780429999996,1006.9853619999999,1.3065635070000001
20,0.85,2784.0416598,1856.0277732000002,2.310846113
21,1.07,295.63682279999995,197.09121519999997,0.2557258517
22,0.86,1084.7159652,723.1439768000001,0.9382793098
23,0.92,1617.6459114000004,1078.4306076,0.8207419738
24,0.85,2389.6908018000004,1593.1272012000004,1.73986034
25,0.71,5800.2961908,3866.8641272,4.495065015
26,0.82,1737.5982425999998,1158.3988284000004,1.50302248
27,0.94,1343.9925474000001,895.9950316000002,0.5915377232999998
28,0.84,1379.0177172,919.3451448,1.1928503250000002
29,0.76,2313.0750186,1542.0500124000002,1.7299657709999998
30,0.87,1598.0959242000001,1065.3972828,1.382352974
31,0.95,3212.8572281999996,2141.9048188,0.4544674655
32,0.75,2093.2588764,1395.5059176,1.8106689280000001
33,0.76,1451.2825944,967.5217296,1.063140965
34,0.84,1362.4769993999996,908.3179996,1.178542604
35,0.8,1682.7246534,1121.8164356000002,1.455556825
36,0.76,2466.4307004,1644.2871335999998,2.133462556
37,0.69,3608.6379168000003,2405.758611200001,2.583128141
38,0.89,3152.9496492,2101.9664328,1.649167002
39,0.74,3612.5214222,2408.3476148,2.679097146
