BuildingID,HP,Solar,Insulation,EV
1,2026,2026,2032,2030
2,2029,2034,2026,2025
3,2028,2023,2024,2026
4,2024,2028,2030,2027
5,2035,2030,2027,2031
6,2031,2026,2031,2032
7,2022,2024,2034,2030
8,2024,2033,2032,2030
9,2027,2033,2033,2028
10,2031,2029,2032,2025
11,2023,2028,2027,2028
12,2025,2024,2033,2033
13,2033,2034,2023,2024
14,2022,2034,2034,2026
15,2030,2025,2025,2023
16,2024,2028,2028,2028
17,2032,2029,2026,2034
18,2026,2028,2022,2029
19,2030,2030,2023,2023
20,2025,2028,2025,2030
21,2034,2023,2034,2023
22,2033,2022,2033,2025
23,2028,2031,2027,2022
24,2028,2034,2027,2032
25,2031,2025,2031,2033
26,2024,2028,2032,2027
27,2027,2032,2028,2031
28,2028,2029,2033,2028
29,2028,2022,2032,2034
30,2024,2034,2025,2024
31,2027,2029,2023,2030
32,2032,2026,2033,2027
33,2032,2028,2028,2025
34,2032,2034,2026,2029
35,2033,2027,2022,2026
36,2022,2029,2034,2033
37,2025,2033,2033,2022
38,2026,2030,2033,2023
39,2029,2031,2024,2032
