BuildingID,HP,Solar,Insulation,EV
1,2028,2033,2039,2031
2,2031,2024,2028,2032
3,2027,2023,2052,2038
4,2034,2027,2039,2028
5,2024,2032,2040,2028
6,2034,2027,2045,2028
7,2022,2033,2041,2026
8,2031,2026,2053,2036
9,2030,2025,2052,2026
10,2026,2026,2051,2040
11,2023,2033,2056,2025
12,2032,2031,2047,2035
13,2033,2031,2039,2033
14,2022,2031,2048,2026
15,2026,2024,2031,2035
16,2024,2031,2036,2026
17,2025,2028,2049,2038
18,2034,2032,2039,2044
19,2024,2025,2026,2030
20,2029,2028,2041,2038
21,2024,2023,2042,2044
22,2028,2022,2056,2027
23,2026,2031,2058,2022
24,2032,2030,2058,2042
25,2029,2029,2050,2034
26,2024,2032,2045,2042
27,2033,2027,2054,2039
28,2033,2026,2036,2032
29,2032,2022,2045,2040
30,2031,2025,2027,2044
31,2024,2031,2028,2032
32,2034,2030,2033,2041
33,2029,2025,2059,2042
34,2030,2031,2047,2030
35,2027,2030,2032,2040
36,2022,2032,2033,2042
37,2031,2027,2034,2043
38,2031,2029,2042,2035
39,2034,2024,2025,2035
