BuildingID,HP,Solar,Insulation,EV
1,2031,2032,2031,2025
2,2030,2028,2031,2026
3,2028,2023,2029,2039
4,2024,2026,2037,2026
5,2033,2030,2033,2031
6,2033,2027,2031,2026
7,2022,2028,2024,2034
8,2030,2029,2026,2037
9,2025,2029,2023,2028
10,2031,2025,2024,2024
11,2023,2033,2044,2028
12,2033,2026,2038,2031
13,2027,2032,2043,2024
14,2022,2026,2041,2027
15,2024,2024,2044,2034
16,2030,2031,2037,2035
17,2025,2027,2023,2024
18,2027,2034,2022,2036
19,2032,2024,2037,2029
20,2035,2035,2033,2025
21,2029,2023,2026,2037
22,2033,2022,2041,2035
23,2031,2031,2024,2022
24,2024,2030,2033,2033
25,2026,2031,2028,2039
26,2033,2031,2027,2034
27,2027,2030,2035,2023
28,2025,2029,2032,2032
29,2024,2022,2036,2028
30,2025,2029,2046,2024
31,2031,2030,2026,2038
32,2032,2030,2033,2035
33,2033,2027,2025,2026
34,2026,2027,2043,2034
35,2026,2035,2036,2026
36,2022,2027,2028,2026
37,2030,2026,2041,2022
38,2031,2030,2031,2031
39,2030,2031,2042,2025
