BuildingID,HP,Solar,Insulation,EV
1,2039,2065,2029,2047
2,2028,2042,2026,2054
3,2038,2057,2029,2038
4,2042,2057,2024,2036
5,2035,2034,2028,2026
6,2037,2028,2027,2050
7,2029,2040,2030,2037
8,2043,2052,2028,2027
9,2035,2033,2024,2049
10,2042,2030,2031,2051
11,2038,2042,2024,2051
12,2034,2053,2026,2034
13,2036,2042,2029,2030
14,2022,2051,2027,2035
15,2025,2064,2030,2024
16,2045,2056,2025,2040
17,2039,2055,2024,2025
18,2039,2037,2022,2024
19,2031,2062,2031,2035
20,2035,2060,2032,2038
21,2032,2060,2026,2028
22,2044,2062,2029,2043
23,2024,2024,2034,2036
24,2034,2053,2025,2045
25,2046,2061,2028,2030
26,2037,2031,2032,2050
27,2027,2062,2033,2054
28,2032,2030,2030,2032
29,2037,2027,2030,2027
30,2032,2024,2024,2045
31,2034,2054,2030,2053
32,2032,2032,2032,2040
33,2028,2055,2023,2028
34,2046,2024,2032,2049
35,2036,2060,2022,2046
36,2022,2023,2027,2032
37,2043,2056,2033,2041
38,2034,2042,2026,2032
39,2030,2029,2033,2032
