BuildingID,HP,Solar,Insulation,EV
1,2032,2033,2033,2051
2,2041,2053,2043,2037
3,2043,2042,2024,2042
4,2031,2052,2055,2059
5,2044,2054,2041,2033
6,2040,2047,2034,2040
7,2046,2058,2048,2038
8,2040,2056,2044,2061
9,2030,2064,2032,2046
10,2045,2065,2031,2037
11,2034,2064,2057,2041
12,2026,2050,2046,2050
13,2044,2045,2053,2046
14,2022,2033,2024,2063
15,2029,2059,2058,2036
16,2034,2048,2030,2044
17,2027,2039,2055,2063
18,2028,2064,2043,2056
19,2044,2041,2050,2053
20,2038,2055,2040,2060
21,2041,2055,2056,2024
22,2041,2054,2050,2023
23,2024,2051,2043,2036
24,2026,2057,2043,2028
25,2030,2044,2046,2035
26,2043,2042,2038,2033
27,2024,2046,2055,2059
28,2024,2050,2034,2042
29,2026,2036,2023,2053
30,2032,2035,2043,2052
31,2027,2031,2056,2060
32,2027,2038,2035,2025
33,2040,2028,2048,2042
34,2028,2038,2049,2025
35,2043,2039,2046,2028
36,2022,2023,2053,2039
37,2040,2042,2029,2030
38,2034,2028,2051,2039
39,2033,2045,2036,2043
