BuildingID,HP,Solar,Insulation,EV
1,2046,2041,2033,2029
2,2038,2043,2035,2035
3,2025,2063,2044,2030
4,2034,2048,2031,2058
5,2028,2043,2023,2057
6,2025,2042,2031,2036
7,2037,2041,2035,2031
8,2033,2041,2041,2050
9,2030,2047,2041,2036
10,2038,2030,2023,2052
11,2024,2034,2046,2046
12,2033,2031,2028,2052
13,2031,2036,2042,2034
14,2022,2032,2025,2039
15,2046,2040,2042,2026
16,2031,2043,2029,2042
17,2028,2047,2045,2046
18,2026,2048,2022,2056
19,2031,2027,2026,2034
20,2044,2049,2035,2055
21,2041,2055,2039,2042
22,2028,2029,2036,2056
23,2031,2039,2028,2056
24,2024,2025,2036,2047
25,2040,2024,2034,2051
26,2026,2051,2044,2053
27,2029,2060,2033,2049
28,2043,2062,2036,2051
29,2030,2027,2047,2041
30,2041,2029,2030,2051
31,2032,2035,2027,2053
32,2033,2052,2028,2027
33,2032,2030,2028,2041
34,2033,2036,2036,2053
35,2046,2061,2024,2033
36,2022,2023,2039,2023
37,2040,2047,2030,2037
38,2042,2047,2036,2042
39,2024,2037,2026,2031
