BuildingID,HP,Solar,Insulation,EV
1,2026,2031,2028,2043
2,2034,2036,2028,2024
3,2040,2035,2028,2039
4,2032,2048,2030,2043
5,2037,2037,2027,2041
6,2037,2038,2029,2029
7,2022,2040,2024,2028
8,2024,2040,2030,2030
9,2031,2031,2031,2036
10,2036,2037,2034,2028
11,2028,2046,2032,2041
12,2037,2044,2027,2029
13,2033,2033,2031,2034
14,2022,2045,2033,2035
15,2027,2027,2024,2036
16,2038,2038,2029,2037
17,2026,2023,2031,2024
18,2033,2026,2022,2026
19,2028,2047,2027,2025
20,2040,2037,2028,2044
21,2026,2033,2032,2039
22,2039,2039,2033,2034
23,2036,2027,2027,2022
24,2030,2026,2032,2031
25,2039,2048,2034,2041
26,2023,2046,2029,2030
27,2039,2031,2023,2027
28,2024,2045,2034,2023
29,2033,2022,2030,2029
30,2032,2047,2028,2039
31,2038,2030,2031,2025
32,2024,2046,2034,2043
33,2026,2044,2023,2030
34,2034,2042,2025,2033
35,2034,2048,2022,2031
36,2022,2035,2031,2029
37,2029,2035,2033,2037
38,2039,2040,2027,2023
39,2031,2028,2034,2024
