BuildingID,HP,Solar,Insulation,EV
1,2028,2039,2025,2027
2,2030,2033,2044,2044
3,2027,2046,2032,2026
4,2026,2029,2056,2046
5,2027,2039,2029,2034
6,2037,2042,2040,2031
7,2022,2049,2034,2027
8,2025,2027,2027,2031
9,2035,2029,2041,2038
10,2037,2036,2045,2054
11,2032,2047,2025,2036
12,2027,2039,2038,2044
13,2033,2042,2023,2043
14,2022,2025,2055,2042
15,2024,2031,2045,2040
16,2038,2031,2028,2048
17,2027,2023,2033,2034
18,2027,2033,2028,2048
19,2040,2027,2052,2026
20,2034,2035,2050,2040
21,2035,2040,2029,2045
22,2026,2044,2057,2044
23,2029,2026,2055,2024
24,2039,2029,2046,2023
25,2034,2046,2032,2028
26,2023,2040,2050,2044
27,2026,2040,2046,2028
28,2027,2040,2038,2043
29,2040,2022,2031,2033
30,2031,2024,2056,2043
31,2027,2038,2030,2045
32,2034,2043,2023,2046
33,2040,2046,2034,2026
34,2040,2046,2056,2029
35,2040,2047,2036,2054
36,2022,2029,2050,2036
37,2032,2025,2034,2035
38,2028,2043,2041,2024
39,2036,2050,2033,2048
