BuildingID,HP,Solar,Insulation,EV
1,2030,2043,2025,2030
2,2037,2044,2045,2033
3,2031,2041,2032,2025
4,2038,2049,2031,2043
5,2032,2049,2038,2035
6,2037,2044,2030,2034
7,2022,2034,2034,2039
8,2024,2026,2030,2046
9,2030,2047,2035,2037
10,2026,2030,2036,2049
11,2035,2038,2037,2028
12,2034,2030,2028,2024
13,2039,2029,2033,2033
14,2022,2037,2046,2038
15,2024,2029,2027,2029
16,2031,2043,2039,2025
17,2029,2023,2038,2038
18,2035,2025,2022,2031
19,2033,2029,2044,2029
20,2032,2036,2023,2040
21,2031,2026,2044,2037
22,2034,2046,2024,2039
23,2024,2034,2043,2034
24,2033,2046,2029,2025
25,2029,2039,2032,2033
26,2023,2043,2035,2034
27,2033,2040,2041,2036
28,2031,2029,2044,2043
29,2028,2022,2036,2034
30,2030,2024,2027,2036
31,2033,2043,2037,2027
32,2030,2041,2033,2036
33,2040,2038,2046,2029
34,2027,2039,2024,2030
35,2033,2040,2025,2034
36,2022,2040,2043,2032
37,2026,2044,2028,2026
38,2037,2026,2037,2037
39,2025,2039,2023,2037
