BuildingID,HP,Solar,Insulation,EV
1,2030,2023,2038,2029
2,2041,2024,2023,2029
3,2033,2023,2034,2030
4,2040,2028,2035,2029
5,2027,2030,2028,2027
6,2047,2030,2034,2026
7,2045,2025,2032,2024
8,2023,2028,2029,2024
9,2050,2024,2025,2028
10,2048,2028,2031,2025
11,2037,2023,2040,2034
12,2051,2034,2023,2024
13,2035,2034,2036,2031
14,2022,2032,2037,2028
15,2043,2029,2031,2030
16,2030,2032,2037,2026
17,2052,2024,2035,2032
18,2038,2032,2022,2025
19,2032,2033,2033,2025
20,2039,2030,2036,2030
21,2034,2030,2035,2034
22,2044,2022,2027,2032
23,2052,2025,2036,2022
24,2048,2029,2036,2028
25,2027,2023,2029,2023
26,2028,2031,2029,2030
27,2027,2029,2035,2034
28,2025,2028,2028,2031
29,2043,2022,2025,2026
30,2025,2030,2028,2030
31,2040,2028,2026,2028
32,2051,2034,2031,2034
33,2026,2025,2027,2032
34,2025,2031,2027,2026
35,2052,2031,2030,2035
36,2022,2030,2034,2023
37,2052,2023,2040,2022
38,2040,2029,2027,2024
39,2033,2032,2031,2028
