BuildingID,HP,Solar,Insulation,EV
1,2039,2023,2039,2025
2,2051,2025,2061,2039
3,2035,2023,2025,2035
4,2046,2028,2060,2042
5,2025,2024,2038,2035
6,2030,2026,2062,2029
7,2025,2028,2057,2032
8,2023,2026,2032,2030
9,2049,2035,2033,2026
10,2024,2029,2044,2024
11,2047,2023,2055,2041
12,2028,2033,2045,2036
13,2046,2028,2046,2030
14,2022,2030,2060,2037
15,2051,2027,2053,2031
16,2030,2028,2054,2042
17,2029,2024,2061,2027
18,2042,2025,2062,2025
19,2033,2034,2036,2039
20,2049,2032,2023,2030
21,2049,2033,2040,2043
22,2024,2022,2041,2028
23,2052,2027,2023,2022
24,2032,2033,2027,2034
25,2051,2023,2036,2029
26,2050,2029,2053,2030
27,2025,2028,2052,2039
28,2025,2025,2064,2023
29,2030,2022,2035,2034
30,2042,2033,2048,2035
31,2040,2027,2053,2038
32,2042,2029,2036,2031
33,2043,2032,2051,2025
34,2030,2032,2030,2034
35,2045,2034,2036,2027
36,2022,2025,2033,2023
37,2034,2023,2059,2027
38,2035,2029,2049,2043
39,2035,2027,2064,2037
