BuildingID,HP,Solar,Insulation,EV
1,2037,2023,2036,2039
2,2030,2029,2038,2023
3,2039,2023,2042,2037
4,2053,2032,2032,2038
5,2044,2024,2045,2032
6,2043,2033,2052,2030
7,2042,2030,2037,2023
8,2023,2026,2039,2030
9,2038,2034,2023,2038
10,2033,2032,2025,2038
11,2040,2023,2039,2025
12,2040,2025,2038,2037
13,2045,2033,2033,2037
14,2022,2034,2045,2033
15,2038,2030,2042,2037
16,2024,2031,2030,2039
17,2047,2033,2024,2025
18,2031,2028,2030,2034
19,2031,2032,2029,2027
20,2048,2032,2026,2023
21,2034,2027,2029,2037
22,2035,2022,2046,2034
23,2028,2030,2027,2022
24,2051,2029,2044,2032
25,2039,2023,2023,2037
26,2038,2026,2051,2040
27,2026,2025,2045,2038
28,2036,2024,2033,2031
29,2028,2022,2044,2034
30,2050,2033,2052,2026
31,2029,2027,2036,2035
32,2053,2026,2037,2038
33,2051,2028,2044,2023
34,2049,2024,2044,2036
35,2039,2025,2049,2025
36,2022,2033,2051,2034
37,2035,2023,2029,2022
38,2028,2031,2029,2038
39,2044,2033,2050,2033
