BuildingID,HP,Solar,Insulation,EV
1,2053,2064,2025,2031
2,2060,2039,2034,2036
3,2063,2062,2034,2050
4,2026,2025,2034,2026
5,2026,2064,2036,2035
6,2028,2038,2023,2046
7,2048,2052,2026,2030
8,2029,2050,2040,2049
9,2053,2041,2032,2033
10,2058,2054,2038,2034
11,2038,2051,2024,2044
12,2054,2042,2035,2047
13,2027,2052,2029,2049
14,2022,2050,2026,2042
15,2057,2032,2024,2053
16,2028,2048,2039,2050
17,2025,2047,2023,2054
18,2055,2028,2022,2045
19,2060,2030,2029,2038
20,2047,2029,2036,2035
21,2030,2041,2034,2034
22,2023,2057,2027,2040
23,2027,2062,2032,2039
24,2048,2052,2033,2034
25,2053,2029,2028,2034
26,2033,2026,2025,2040
27,2044,2049,2024,2055
28,2034,2048,2034,2044
29,2042,2050,2040,2051
30,2042,2041,2032,2037
31,2064,2040,2032,2033
32,2029,2059,2036,2034
33,2054,2029,2032,2031
34,2048,2050,2028,2034
35,2055,2025,2028,2043
36,2022,2048,2026,2027
37,2025,2057,2037,2047
38,2045,2023,2039,2054
39,2045,2029,2026,2051
