BuildingID,HP,Solar,Insulation,EV
1,2037,2025,2036,2049
2,2025,2024,2047,2041
3,2062,2062,2041,2041
4,2061,2041,2045,2031
5,2058,2038,2033,2054
6,2029,2062,2034,2051
7,2029,2061,2039,2056
8,2033,2033,2051,2044
9,2058,2064,2025,2026
10,2026,2052,2039,2029
11,2029,2064,2038,2047
12,2046,2053,2027,2036
13,2037,2054,2044,2050
14,2022,2029,2026,2056
15,2037,2037,2045,2024
16,2062,2063,2029,2033
17,2061,2028,2031,2054
18,2065,2031,2031,2028
19,2033,2055,2036,2025
20,2042,2052,2031,2058
21,2041,2053,2052,2045
22,2023,2036,2033,2054
23,2037,2060,2024,2055
24,2031,2039,2040,2043
25,2052,2053,2025,2025
26,2024,2037,2027,2027
27,2042,2032,2035,2056
28,2037,2052,2033,2026
29,2060,2027,2044,2041
30,2048,2045,2035,2040
31,2050,2042,2032,2059
32,2024,2043,2041,2058
33,2049,2055,2038,2056
34,2049,2043,2042,2051
35,2063,2029,2046,2030
36,2022,2025,2037,2035
37,2059,2033,2048,2041
38,2031,2023,2030,2030
39,2028,2035,2046,2041
