BuildingID,HP,Solar,Insulation,EV
1,2037,2047,2040,2037
2,2028,2024,2033,2044
3,2056,2047,2039,2025
4,2050,2040,2028,2024
5,2042,2042,2032,2032
6,2024,2036,2023,2024
7,2032,2046,2029,2026
8,2052,2044,2035,2040
9,2032,2027,2034,2024
10,2057,2043,2027,2037
11,2029,2036,2029,2033
12,2028,2030,2024,2030
13,2039,2041,2031,2036
14,2022,2034,2038,2044
15,2036,2037,2023,2039
16,2038,2030,2037,2042
17,2044,2039,2029,2030
18,2047,2036,2022,2024
19,2025,2026,2034,2029
20,2023,2042,2024,2025
21,2051,2038,2031,2031
22,2048,2029,2030,2029
23,2049,2032,2028,2022
24,2059,2034,2024,2043
25,2058,2025,2032,2036
26,2039,2043,2040,2042
27,2037,2024,2025,2026
28,2059,2023,2030,2034
29,2058,2022,2038,2033
30,2031,2044,2023,2028
31,2045,2037,2034,2038
32,2049,2025,2025,2038
33,2054,2047,2029,2023
34,2042,2023,2026,2040
35,2031,2047,2032,2030
36,2022,2045,2029,2030
37,2037,2040,2038,2028
38,2047,2034,2026,2040
39,2049,2038,2037,2032
