BuildingID,HP,Solar,Insulation,EV
1,2040,2031,2028,2035
2,2049,2041,2034,2042
3,2057,2035,2064,2026
4,2046,2032,2035,2043
5,2034,2027,2056,2053
6,2044,2045,2061,2050
7,2044,2046,2046,2045
8,2025,2028,2024,2027
9,2024,2031,2063,2033
10,2026,2036,2065,2052
11,2039,2027,2051,2044
12,2027,2041,2044,2054
13,2053,2041,2050,2031
14,2022,2038,2046,2030
15,2057,2029,2056,2053
16,2031,2045,2057,2044
17,2037,2048,2029,2053
18,2058,2041,2023,2032
19,2041,2024,2032,2023
20,2023,2025,2050,2044
21,2032,2028,2026,2033
22,2059,2043,2028,2043
23,2038,2047,2025,2031
24,2051,2026,2064,2028
25,2057,2027,2048,2028
26,2056,2045,2041,2047
27,2028,2024,2037,2028
28,2037,2023,2064,2046
29,2058,2022,2038,2045
30,2040,2028,2031,2032
31,2057,2039,2061,2024
32,2045,2033,2039,2054
33,2035,2046,2064,2040
34,2029,2023,2056,2033
35,2035,2028,2047,2054
36,2022,2042,2050,2028
37,2039,2028,2050,2039
38,2046,2033,2035,2035
39,2030,2049,2024,2040
