BuildingID,HP,Solar,Insulation,EV
1,2028,2038,2047,2029
2,2031,2036,2052,2035
3,2059,2035,2024,2024
4,2035,2043,2050,2047
5,2043,2031,2037,2042
6,2024,2033,2024,2027
7,2043,2035,2051,2038
8,2027,2033,2051,2023
9,2036,2047,2045,2037
10,2045,2035,2049,2027
11,2058,2043,2036,2047
12,2059,2026,2046,2024
13,2041,2027,2030,2023
14,2022,2037,2039,2047
15,2052,2042,2032,2047
16,2039,2049,2033,2034
17,2054,2043,2041,2034
18,2028,2031,2029,2048
19,2042,2035,2038,2036
20,2023,2031,2035,2046
21,2024,2033,2047,2043
22,2047,2030,2036,2037
23,2048,2045,2031,2031
24,2040,2042,2043,2029
25,2041,2026,2026,2028
26,2050,2041,2041,2037
27,2032,2030,2034,2043
28,2053,2023,2048,2049
29,2039,2022,2040,2044
30,2038,2040,2031,2049
31,2058,2042,2039,2030
32,2036,2043,2043,2032
33,2036,2042,2037,2046
34,2025,2023,2035,2026
35,2038,2033,2052,2023
36,2022,2046,2039,2040
37,2059,2041,2027,2036
38,2056,2030,2030,2048
39,2033,2036,2028,2044
