BuildingID,HP,Solar,Insulation,EV
1,2026,2023,2030,2030
2,2041,2024,2023,2027
3,2038,2023,2025,2030
4,2026,2025,2023,2031
5,2027,2031,2024,2026
6,2024,2030,2035,2034
7,2037,2024,2033,2027
8,2037,2025,2035,2028
9,2042,2031,2034,2030
10,2029,2024,2033,2030
11,2039,2025,2029,2034
12,2033,2032,2029,2034
13,2041,2033,2036,2025
14,2022,2032,2024,2025
15,2040,2024,2034,2023
16,2035,2025,2029,2033
17,2036,2028,2028,2025
18,2037,2032,2022,2026
19,2024,2032,2033,2023
20,2028,2024,2024,2028
21,2038,2034,2030,2027
22,2030,2022,2023,2028
23,2028,2030,2029,2022
24,2035,2024,2026,2028
25,2040,2034,2030,2023
26,2036,2025,2024,2034
27,2041,2033,2031,2025
28,2035,2032,2029,2029
29,2033,2022,2027,2033
30,2030,2026,2031,2026
31,2041,2025,2024,2027
32,2040,2027,2028,2029
33,2031,2024,2024,2026
34,2032,2027,2028,2032
35,2040,2034,2032,2034
36,2022,2026,2036,2023
37,2026,2024,2032,2022
38,2028,2034,2036,2025
39,2039,2033,2026,2028
