BuildingID,HP,Solar,Insulation,EV
1,2032,2023,2036,2041
2,2028,2024,2046,2024
3,2027,2023,2058,2030
4,2025,2031,2036,2033
5,2026,2034,2052,2034
6,2024,2024,2034,2038
7,2034,2024,2037,2025
8,2041,2029,2039,2024
9,2036,2033,2028,2043
10,2038,2027,2057,2042
11,2029,2026,2050,2028
12,2037,2031,2041,2036
13,2040,2034,2038,2043
14,2022,2031,2041,2034
15,2034,2033,2024,2044
16,2033,2024,2025,2038
17,2027,2030,2042,2034
18,2027,2029,2058,2041
19,2029,2024,2029,2040
20,2032,2030,2061,2032
21,2036,2026,2032,2040
22,2025,2022,2039,2033
23,2035,2033,2027,2022
24,2037,2031,2028,2043
25,2040,2027,2057,2034
26,2034,2024,2025,2042
27,2032,2031,2059,2037
28,2033,2029,2052,2023
29,2036,2022,2052,2028
30,2041,2034,2040,2040
31,2036,2032,2046,2037
32,2034,2034,2025,2043
33,2028,2031,2045,2031
34,2031,2030,2053,2038
35,2033,2026,2046,2035
36,2022,2026,2049,2041
37,2032,2033,2042,2038
38,2024,2030,2038,2023
39,2041,2030,2048,2030
