BuildingID,HP,Solar,Insulation,EV
1,2032,2023,2041,2029
2,2041,2024,2033,2040
3,2034,2023,2039,2035
4,2026,2024,2033,2026
5,2036,2034,2028,2025
6,2024,2024,2029,2031
7,2043,2031,2046,2031
8,2029,2029,2041,2038
9,2027,2027,2023,2036
10,2032,2029,2042,2033
11,2040,2032,2045,2028
12,2039,2027,2033,2029
13,2028,2029,2034,2029
14,2022,2030,2045,2039
15,2026,2027,2030,2026
16,2027,2028,2039,2025
17,2035,2028,2045,2028
18,2043,2033,2026,2028
19,2042,2026,2034,2038
20,2035,2029,2024,2030
21,2041,2033,2034,2025
22,2042,2022,2033,2034
23,2042,2035,2030,2022
24,2035,2034,2041,2026
25,2041,2032,2037,2034
26,2043,2024,2048,2027
27,2033,2029,2039,2031
28,2039,2027,2031,2028
29,2025,2022,2033,2034
30,2038,2026,2048,2032
31,2029,2034,2049,2024
32,2042,2027,2034,2035
33,2042,2034,2039,2035
34,2044,2033,2028,2029
35,2033,2031,2034,2025
36,2022,2024,2048,2028
37,2029,2032,2036,2022
38,2025,2034,2027,2025
39,2031,2024,2047,2026
