BuildingID,HP,Solar,Insulation,EV
1,2030,2059,2032,2031
2,2050,2061,2032,2044
3,2036,2061,2034,2024
4,2054,2062,2025,2026
5,2052,2035,2032,2027
6,2024,2037,2026,2026
7,2046,2058,2036,2044
8,2023,2052,2036,2052
9,2049,2037,2025,2047
10,2041,2053,2029,2055
11,2030,2037,2033,2031
12,2024,2032,2027,2050
13,2047,2040,2027,2041
14,2022,2049,2035,2032
15,2025,2047,2029,2035
16,2045,2057,2036,2041
17,2052,2036,2026,2051
18,2023,2027,2022,2054
19,2031,2052,2024,2030
20,2024,2057,2024,2039
21,2052,2034,2024,2046
22,2040,2025,2032,2037
23,2055,2034,2035,2030
24,2038,2062,2030,2023
25,2050,2060,2036,2054
26,2052,2041,2025,2026
27,2028,2043,2029,2026
28,2033,2035,2026,2051
29,2028,2041,2036,2032
30,2053,2052,2034,2047
31,2031,2041,2035,2038
32,2043,2052,2027,2025
33,2029,2030,2036,2050
34,2024,2024,2027,2041
35,2029,2060,2033,2045
36,2022,2056,2024,2053
37,2054,2044,2030,2038
38,2033,2023,2030,2029
39,2055,2052,2034,2025
