BuildingID,HP,Solar,Insulation,EV
1,2053,2025,2039,2036
2,2043,2033,2029,2049
3,2048,2039,2034,2051
4,2029,2038,2054,2029
5,2051,2048,2048,2025
6,2024,2054,2045,2026
7,2029,2033,2041,2033
8,2023,2027,2057,2063
9,2024,2055,2049,2035
10,2049,2055,2031,2055
11,2044,2034,2042,2024
12,2045,2048,2042,2042
13,2026,2026,2052,2032
14,2022,2028,2042,2032
15,2026,2048,2048,2035
16,2024,2026,2043,2036
17,2055,2026,2049,2062
18,2023,2028,2023,2058
19,2028,2059,2059,2062
20,2024,2029,2051,2053
21,2024,2052,2023,2063
22,2028,2059,2023,2060
23,2048,2048,2026,2025
24,2054,2045,2033,2049
25,2046,2024,2054,2046
26,2044,2041,2033,2051
27,2036,2060,2040,2028
28,2053,2025,2036,2024
29,2028,2027,2052,2050
30,2050,2048,2044,2059
31,2039,2043,2039,2063
32,2049,2059,2051,2063
33,2025,2047,2062,2029
34,2035,2045,2023,2062
35,2051,2030,2025,2052
36,2022,2059,2046,2032
37,2039,2044,2059,2039
38,2050,2023,2054,2059
39,2024,2060,2034,2043
