BuildingID,HP,Solar,Insulation,EV
1,2037,2025,2033,2035
2,2052,2051,2048,2029
3,2039,2059,2031,2052
4,2030,2029,2038,2059
5,2027,2063,2023,2054
6,2024,2036,2049,2030
7,2035,2032,2034,2038
8,2023,2051,2035,2048
9,2041,2050,2029,2050
10,2038,2045,2023,2028
11,2046,2051,2043,2055
12,2052,2038,2036,2040
13,2030,2049,2027,2055
14,2022,2061,2032,2041
15,2036,2063,2023,2045
16,2024,2028,2041,2051
17,2052,2035,2047,2054
18,2023,2052,2048,2030
19,2037,2043,2048,2039
20,2031,2052,2033,2053
21,2048,2042,2025,2038
22,2053,2035,2028,2058
23,2053,2063,2034,2057
24,2056,2025,2026,2040
25,2041,2052,2030,2024
26,2028,2042,2039,2026
27,2038,2030,2033,2029
28,2055,2048,2039,2031
29,2041,2063,2036,2059
30,2054,2026,2050,2042
31,2041,2033,2027,2036
32,2044,2035,2027,2039
33,2037,2055,2042,2051
34,2038,2043,2046,2041
35,2053,2039,2038,2031
36,2022,2031,2044,2049
37,2038,2046,2024,2046
38,2038,2023,2038,2029
39,2037,2027,2033,2031
