BuildingID,HP,Solar,Insulation,EV
1,2039,2033,2030,2035
2,2039,2043,2025,2041
3,2036,2033,2035,2041
4,2036,2049,2030,2041
5,2024,2027,2034,2031
6,2041,2049,2034,2042
7,2050,2044,2026,2033
8,2039,2031,2031,2025
9,2024,2030,2027,2025
10,2027,2026,2033,2029
11,2045,2044,2025,2043
12,2032,2042,2026,2034
13,2023,2033,2024,2034
14,2022,2032,2029,2042
15,2031,2046,2035,2042
16,2023,2031,2036,2028
17,2044,2031,2035,2023
18,2040,2037,2022,2026
19,2023,2026,2023,2030
20,2048,2028,2035,2043
21,2040,2026,2030,2025
22,2023,2044,2034,2027
23,2047,2043,2030,2022
24,2038,2039,2027,2041
25,2030,2026,2029,2039
26,2039,2045,2027,2040
27,2029,2048,2028,2036
28,2050,2023,2027,2034
29,2023,2022,2026,2031
30,2024,2028,2027,2039
31,2050,2042,2037,2033
32,2035,2031,2029,2042
33,2037,2043,2023,2044
34,2044,2023,2035,2044
35,2039,2049,2026,2032
36,2022,2029,2034,2035
37,2042,2034,2028,2043
38,2047,2035,2026,2040
39,2037,2036,2027,2025
