BuildingID,HP,Solar,Insulation,EV
1,2035,2038,2043,2029
2,2033,2040,2057,2029
3,2037,2046,2060,2040
4,2036,2045,2048,2046
5,2024,2040,2028,2037
6,2035,2041,2024,2052
7,2036,2033,2045,2041
8,2025,2044,2039,2024
9,2024,2026,2044,2030
10,2044,2039,2058,2044
11,2034,2042,2042,2038
12,2040,2036,2056,2024
13,2023,2026,2038,2054
14,2022,2033,2053,2051
15,2047,2050,2029,2028
16,2023,2039,2056,2024
17,2026,2026,2039,2041
18,2026,2047,2046,2027
19,2023,2046,2050,2023
20,2027,2043,2045,2029
21,2028,2042,2045,2051
22,2023,2048,2054,2053
23,2043,2033,2060,2033
24,2039,2042,2057,2042
25,2043,2038,2024,2044
26,2037,2025,2035,2025
27,2046,2033,2033,2026
28,2048,2023,2025,2023
29,2023,2022,2045,2047
30,2033,2028,2031,2050
31,2025,2031,2027,2037
32,2035,2042,2031,2027
33,2024,2032,2037,2040
34,2038,2023,2053,2037
35,2040,2049,2045,2045
36,2022,2029,2041,2026
37,2031,2034,2025,2051
38,2024,2047,2026,2025
39,2045,2030,2055,2050
