AreaID,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
1,0.0,0.036290322580644296,0.06451612903225706,0.23588709677419267,0.3548387096774181,0.43346774193548293,0.37701612903225645,0.31249999999999845,0.3407258064516112,0.385080645161288,0.43749999999999917,0.4435483870967735,0.33870967741935404,0.33870967741935404,0.39112903225806334,0.3467741935483865,0.46774193548387005,0.5383064516129034,0.5846774193548392,0.5846774193548392,0.6209677419354844,0.6612903225806459,0.7399193548387099,0.8971774193548395,0.8971774193548395,0.9576612903225813,0.9576612903225813,0.9576612903225813,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,0.055187637969094455,0.0750551876379692,0.1258278145695349,0.15011037527593737,0.055187637969094455,0.0,0.12362030905077206,0.030905077262691982,0.05298013245033059,0.033112582781455846,0.09050772626931519,0.15011037527593737,0.20309050772626797,0.2869757174392926,0.35540838852097023,0.43046357615893943,0.5121412803532002,0.5077262693156724,0.578366445916114,0.640176600441501,0.7196467991169969,0.7196467991169969,0.7704194260485647,0.7836644591611478,0.8101545253863132,0.9536423841059599,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,0.0,0.04892966360856423,0.03669724770642318,0.2874617737003063,0.24770642201834928,0.14067278287461787,0.17431192660550435,0.11620795107033575,0.20489296636085555,0.08562691131498454,0.08868501529051981,0.09174311926605508,0.14984709480122224,0.11314984709480048,0.1039755351681947,0.09174311926605364,0.018348623853210153,0.06422018348623769,0.13455657492354733,0.30886850152905315,0.30886850152905315,0.5168195718654439,0.5321100917431203,0.5321100917431203,0.7584097859327227,0.8287461773700338,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,0.14252873563218466,0.23448275862068976,0.3126436781609197,0.264367816091955,0.101149425287357,0.124137931034483,0.0,0.08735632183907967,0.12643678160919464,0.20689655172413726,0.16551724137931068,0.22528735632184,0.2229885057471273,0.38390804597701145,0.42068965517241264,0.3586206896551717,0.46436781609195305,0.49195402298850444,0.5908045977011487,0.6965517241379301,0.8321839080459766,0.8436781609195391,0.9126436781609193,0.9471264367816088,0.9517241379310342,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,0.15000000000000102,0.025000000000001247,0.18750000000000083,0.24250000000000113,0.20250000000000123,0.16500000000000026,0.16250000000000137,0.1450000000000009,0.0,0.09499999999999957,0.11250000000000121,0.12500000000000036,0.11250000000000121,0.33250000000000113,0.33250000000000113,0.26250000000000046,0.33250000000000113,0.44000000000000045,0.4225,0.5849999999999984,0.6024999999999989,0.6525000000000002,0.6599999999999993,0.8049999999999984,0.8374999999999992,0.9374999999999996,0.9374999999999996,0.9374999999999996,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,0.2928039702233286,0.36476426799007766,0.270471464019854,0.24565756823821677,0.2332506203473964,0.28784119106699857,0.3424317617866019,0.4392059553349894,0.44416873449131705,0.4516129032258086,0.2952853598014913,0.1588089330024835,0.16625310173697386,0.029776674937964927,0.0,0.009925558312655364,0.03970223325062029,0.2307692307692314,0.12406947890818856,0.27791563275434206,0.3548387096774188,0.3548387096774188,0.5434243176178649,0.6377171215880897,0.8461538461538465,0.8759305210918115,0.9454094292803966,0.9454094292803966,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,0.01881720430107579,0.0295698924731191,0.0,0.13978494623655924,0.11559139784946305,0.07795698924731273,0.17473118279569874,0.20698924731182866,0.2096774193548395,0.18279569892473121,0.2231182795698936,0.15860215053763502,0.2311827956989261,0.2553763440860223,0.28494623655914136,0.26075268817204394,0.2688172043010764,0.19623655913978408,0.3198924731182809,0.32795698924731337,0.446236559139786,0.5349462365591408,0.7446236559139789,0.8037634408602159,0.8790322580645166,0.9435483870967751,0.9435483870967751,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,0.0,0.03438395415472742,0.0401146131805142,0.137535816618911,0.11461318051575851,0.1318051575931229,0.1088825214899704,0.06303724928366672,0.091690544412606,0.18338108882521337,0.20630372492836588,0.09742120343839414,0.091690544412606,0.07449856733524163,0.1719197707736371,0.23495702005730515,0.09742120343839414,0.09455587392550006,0.11174785100286445,0.2378223495701992,0.38395415472779243,0.4899713467048701,0.6103151862464168,0.6704871060171907,0.6704871060171907,0.8166189111747839,0.8481375358166173,0.8997134670487091,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,0.3199105145413891,0.28411633109619794,0.25279642058165674,0.25727069351230564,0.15436241610738316,0.24384787472035896,0.1744966442953032,0.10514541387024638,0.10738255033557083,0.060402684563759544,0.0,0.12080536912751752,0.12080536912751856,0.13646532438478864,0.16778523489932984,0.18568232662192544,0.27069351230425126,0.4340044742729317,0.48322147651006847,0.5480984340044753,0.7046979865771824,0.7718120805369127,0.8232662192393729,0.8545861297539141,0.9485458612975388,0.9485458612975388,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,0.20441988950276332,0.1381215469613277,0.10773480662983517,0.09116022099447561,0.10773480662983517,0.15745856353591126,0.20441988950276202,0.10220994475138069,0.03867403314917035,0.0,0.03314917127071847,0.008287292817680425,0.08011049723757054,0.2154696132596697,0.23756906077348244,0.2624309392265205,0.23756906077348244,0.2928176795580117,0.2624309392265205,0.42265193370165766,0.4475138121546957,0.5303867403314922,0.5801104972375696,0.7430939226519333,0.8259668508287286,0.8895027624309388,0.9530386740331492,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11,0.0,0.2067510548523213,0.4177215189873431,0.4599156118143467,0.3417721518987351,0.31223628691983124,0.4810126582278475,0.2784810126582288,0.43881856540084196,0.3839662447257367,0.5696202531645552,0.6075949367088602,0.5400843881856513,0.39240506329113584,0.24050632911392178,0.17299578059071485,0.17299578059071485,0.27004219409282565,0.3628691983122339,0.3755274261603356,0.49367088607594717,0.6033755274261596,0.7215189873417712,0.8818565400843884,0.9957805907172994,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12,0.09045226130653415,0.0,0.13316582914572903,0.20854271356783946,0.20854271356783827,0.1834170854271352,0.3793969849246237,0.46984924623115665,0.5402010050251262,0.5552763819095488,0.4899497487437189,0.49748743718593014,0.4497487437185944,0.3768844221105533,0.3140703517587938,0.39949748743718594,0.3492462311557786,0.39698492462311546,0.4371859296482411,0.4371859296482411,0.5979899497487449,0.6256281407035184,0.6783919597989949,0.6984924623115584,0.8291457286432158,0.8994974874371865,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
13,0.0,0.11085972850678733,0.0882352941176464,0.1583710407239822,0.39140271493212625,0.4728506787330325,0.5723981900452483,0.5067873303167417,0.44796380090497745,0.41628959276018124,0.48190045248868885,0.5656108597285071,0.434389140271494,0.5022624434389146,0.45248868778280565,0.5271493212669686,0.5542986425339366,0.5610859728506788,0.6425339366515841,0.7262443438914022,0.8031674208144782,0.8099547511312205,0.8212669683257909,0.8823529411764693,0.9366515837104065,0.9570135746606333,0.9570135746606333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
14,0.09319899244332404,0.05289672544080518,0.09319899244332522,0.10327455919395523,0.0,0.0,0.020151133501258835,0.07304785894206402,0.11335012594458405,0.03778337531486135,0.07304785894206402,0.07304785894206402,0.03778337531486017,0.07304785894206402,0.13602015113350038,0.16624685138538922,0.23677581863979694,0.2795969773299733,0.3778337531486135,0.38539042821158603,0.5314861460957164,0.5944584382871528,0.8337531486146096,0.8413098236775821,0.9042821158690173,0.9622166246851387,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15,0.18983050847457564,0.1830508474576263,0.1322033898305077,0.016949152542371802,0.0,0.02711864406779584,0.06779661016949039,0.03050847457626893,0.033898305084743605,0.07796610169491443,0.1152542372881359,0.1491525423728811,0.07796610169491443,0.07796610169491443,0.044067796610167645,0.12542372881355993,0.07796610169491602,0.12542372881355993,0.13220338983050928,0.2779661016949157,0.3593220338983048,0.5118644067796622,0.5559322033898314,0.7288135593220368,0.7694915254237313,0.9288135593220349,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
16,0.10189573459715712,0.06398104265402806,0.009478672985781153,0.002369668246445566,0.02369668246445566,0.08056872037914703,0.10426540284360268,0.12796208530805836,0.0,0.13270142180094838,0.24407582938388553,0.36018957345971603,0.34123222748815263,0.5663507109004736,0.5450236966824646,0.6279620853080572,0.6303317535545028,0.6303317535545028,0.5236966824644546,0.6635071090047396,0.715639810426541,0.7582938388625601,0.7654028436018956,0.8246445497630337,0.8744075829383895,0.9383886255924175,0.9383886255924175,0.9383886255924175,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
17,0.24011299435028255,0.22316384180790919,0.1751412429378527,0.08757062146892501,0.1553672316384171,0.20338983050847492,0.048022598870056506,0.0,0.070621468926553,0.32203389830508444,0.38418079096045077,0.47175141242937707,0.46892655367231617,0.4632768361581917,0.4576271186440673,0.43220338983050727,0.40960451977401074,0.395480225988701,0.4096045197740121,0.4802259887005651,0.6299435028248591,0.6299435028248591,0.6497175141242947,0.7288135593220343,0.8361581920903962,0.8502824858757073,0.8502824858757073,0.9265536723163847,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18,0.18394648829431515,0.250836120401339,0.22073578595317755,0.21404682274247502,0.2876254180602014,0.3210702341137141,0.3913043478260892,0.23745819397993392,0.15050167224080402,0.20401337792642277,0.20401337792642277,0.17391304347826134,0.22408026755852883,0.14046822742474865,0.06688963210702384,0.12040133779264102,0.0,0.16387959866220753,0.31438127090301,0.38795986622073636,0.408026755852844,0.47157190635451657,0.47157190635451657,0.47157190635451657,0.6287625418060215,0.6923076923076925,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
19,0.0,0.03631961259079884,0.14043583535108986,0.27360774818401973,0.2953995157384997,0.2953995157384997,0.3535108958837774,0.40677966101694957,0.4576271186440684,0.5254237288135606,0.641646489104117,0.7021791767554482,0.6416464891041159,0.5472154963680395,0.4963680387409217,0.4818401937046006,0.6029055690072638,0.6392251815980626,0.6513317191283293,0.7021791767554482,0.7554479418886192,0.8256658595641635,0.8256658595641635,0.8401937046004824,0.8789346246973345,0.9031476997578679,0.97094430992736,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,0.3045822102425876,0.3045822102425876,0.25067385444743906,0.16172506738544565,0.16172506738544565,0.17520215633423183,0.21832884097035044,0.08355795148247969,0.18059299191374684,0.2371967654986516,0.19137466307277554,0.17250673854447435,0.18598382749326053,0.17250673854447435,0.0,0.0026954177897574906,0.0026954177897574906,0.1185983827493258,0.13746630727762824,0.13746630727762824,0.2857142857142864,0.38274932614555357,0.5983827493261478,0.6522911051212963,0.7223719676549873,0.811320754716982,0.9407008086253364,0.9407008086253364,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
21,0.0,0.059006211180125945,0.14285714285714557,0.1645962732919259,0.17391304347826156,0.06211180124223638,0.11801242236025043,0.1366459627329218,0.12422360248447421,0.046583850931678376,0.0527950310559007,0.17701863354037345,0.1242236024844713,0.22360248447204892,0.3322981366459622,0.28571428571428387,0.2950310559006195,0.3664596273291916,0.4161490683229818,0.5031055900621119,0.7329192546583846,0.7546583850931664,0.7546583850931664,0.7701863354037258,0.8447204968944083,0.9161490683229804,0.9161490683229804,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
22,0.0,0.006622516556291082,0.12141280353200903,0.1964679911699774,0.121412803532008,0.04415011037527474,0.14128035320088178,0.25386313465783483,0.3863134657836637,0.45474613686534254,0.6070640176600453,0.5121412803532011,0.4812362030905079,0.4525386313465787,0.5033112582781445,0.5055187637969084,0.5982339955849908,0.6291390728476839,0.6247240618101562,0.6732891832229602,0.6754966887417241,0.7350993377483463,0.7792494481236226,0.8520971302428282,0.8520971302428282,0.8940397350993395,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
23,0.06250000000000024,0.0,0.06026785714285626,0.12276785714285701,0.2075892857142849,0.2656249999999998,0.22544642857142827,0.24776785714285643,0.2299107142857141,0.2299107142857141,0.2633928571428569,0.27232142857142855,0.38392857142857045,0.3660714285714281,0.37723214285714274,0.4174107142857132,0.3638392857142852,0.4263392857142849,0.5245535714285724,0.5959821428571438,0.6629464285714294,0.6629464285714294,0.7366071428571426,0.7656250000000006,0.78125,0.8415178571428568,0.8415178571428568,0.9486607142857149,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
24,0.05128205128205077,0.07051282051282055,0.07051282051282055,0.03632478632478738,0.04273504273504197,0.0,0.012820512820513193,0.053418803418802965,0.0,0.025641025641025383,0.10470085470085373,0.14743589743589572,0.05128205128205077,0.18376068376068208,0.20299145299145188,0.15170940170940012,0.3269230769230764,0.39316239316239254,0.354700854700854,0.45726495726495653,0.5747863247863244,0.645299145299144,0.6901709401709392,0.7927350427350417,0.8525641025641023,0.8995726495726497,0.9444444444444439,0.9444444444444439,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
25,0.0,0.039301310043668325,0.13318777292576425,0.13537117903930143,0.12008733624454165,0.13100436681222655,0.2510917030567687,0.2729257641921406,0.28820960698689985,0.1965065502183401,0.1965065502183401,0.1812227074235798,0.13755458515283658,0.026200873362443672,0.12445414847161448,0.11790393013100191,0.19213973799126366,0.18122270742357877,0.24017467248908175,0.24017467248908175,0.24017467248908175,0.3755458515283832,0.48253275109170224,0.6244541484716153,0.7532751091703052,0.8231441048034931,0.965065502183406,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
26,0.0,0.023952095808384626,0.19161676646706646,0.15868263473053998,0.13173652694610946,0.24251497005988232,0.2155688622754518,0.25149700598802627,0.22455089820359436,0.26646706586826485,0.23353293413173834,0.25449101796407425,0.35628742514970174,0.38323353293413365,0.4251497005988041,0.31437125748503125,0.29041916167664733,0.1257485029940135,0.3622754491017977,0.4251497005988041,0.4550898203592826,0.5628742514970074,0.5628742514970074,0.6437125748503004,0.7964071856287437,0.8682634730538926,0.9431137724550895,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
