AreaID,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
1,1.0,0.9301427096156792,0.905639522110989,0.8334015878547174,0.7317946492152309,0.6397387175548724,0.5083122396944567,0.4022182290457667,0.2857762542884004,0.21248917839326334,0.13101240755403118,0.06440006737805822,0.01138765171426309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1.0,0.8550787014911653,0.821112770935263,0.7375270416312764,0.6510675161737352,0.5515642876153257,0.49437852862361265,0.4452700206705563,0.29130187213363795,0.17649709348697917,0.08221640499377303,0.04070009464751499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1.0,0.8907838599501904,0.7671314791804658,0.7200150507406003,0.688057909400199,0.6169251162143475,0.5176643814830769,0.47273042088885464,0.34175757243583094,0.27021565708436046,0.21857402123151798,0.0754358833108981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1.0,0.850181982152093,0.8374480143685967,0.7330479258413974,0.6201470642724753,0.49862633746410107,0.47695552491154464,0.42897920211573154,0.3726043657707449,0.2214136354505085,0.12363038510881177,0.0584721326931689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1.0,0.9254000335315129,0.896625126395568,0.8489249755607333,0.7057152363144852,0.60230209924683,0.4075596669114239,0.3628234504194347,0.3347249192053324,0.2544790012552183,0.19638104653473296,0.10532821037567343,0.032767234338337864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1.0,0.8356122370896566,0.7825327616851361,0.6871080888788358,0.5545581001188249,0.4870256881439196,0.3723618407007418,0.3301327705753548,0.3077696648206233,0.20938402944202197,0.13838372457495088,0.056947935856453274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,1.0,0.9125698555593023,0.7828957241484702,0.7192497718964139,0.5930700194221218,0.5259808195863311,0.5121710756802386,0.47019192922738723,0.3283922963331828,0.2683859422580822,0.12936948189744657,0.08406236225581849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,1.0,0.9217136689493061,0.8907930843684416,0.8119706177556587,0.7366234773411642,0.6292504335925705,0.40834818370590253,0.3614446870256866,0.2864003100779712,0.21516914265938,0.11280255488612465,0.0904300621365079,0.009918738073216457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,1.0,0.9393340941721107,0.9018246137768583,0.8655463035460492,0.7761804001984013,0.6724180065203206,0.5374655611211998,0.4135180410824106,0.33044336365765836,0.18993455153785588,0.12593669391365703,0.053121919989498244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,1.0,0.8946759576433749,0.7538064347906176,0.6186229113381967,0.5791240752442859,0.49737261846053493,0.4284283656729584,0.30769500682622264,0.21641566240475502,0.15488016506245228,0.09132368878335687,0.06517633929494614,0.009939970746064163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
