AreaID,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
1,1.0,0.8672475194964062,0.7807850770711727,0.7188204454062929,0.618257143270274,0.5993242668117632,0.49067705170664977,0.38023895159645693,0.3143347752865703,0.2684452113471262,0.2074046768632005,0.12814433099934308,0.012909451378244223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1.0,0.9565830241326723,0.8415732499703606,0.7297670057783178,0.5755969136296434,0.5163208644264227,0.4162259276770943,0.3568416141789501,0.26634896019493615,0.26260989641016175,0.12811880412220453,0.08118069460485967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1.0,0.9611156348372067,0.896150589613676,0.8119554904892896,0.687561210685252,0.6360626871081557,0.52598720770726,0.4293431782245079,0.27042877433537704,0.21529525950281284,0.15516840520203398,0.11291115363154305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1.0,0.7023979028059724,0.6732350789058791,0.627216055618522,0.591024231936877,0.5419614965123339,0.39867355896829876,0.32270414016827914,0.2803632638033227,0.2028758362264448,0.16787183592953386,0.06737822998547406,0.010809321807162197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1.0,0.8926017381296641,0.771890397196192,0.7054398092664977,0.5537104038827217,0.481066545044996,0.447184244873756,0.36936729558693426,0.3416198078011735,0.2701817000539929,0.09982909615077006,0.03345371530735369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1.0,0.8923084431649747,0.8175435364110839,0.6400030875074986,0.5097403104366851,0.43767234465741434,0.3866080102700206,0.3038122662074278,0.25394334227428855,0.20827259414917704,0.1870240946260196,0.12059535006420267,0.010858373317413184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,1.0,0.9281645769459339,0.8538999258860722,0.77121197722485,0.6499284800602576,0.519819696721769,0.4067179590168514,0.35395863554287377,0.29628885254915033,0.19019670041464534,0.16390696268716862,0.12289770345014395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,1.0,0.8338312059064126,0.7436700243363792,0.6586124621596113,0.5513499221855545,0.44709566087187963,0.38092900820029624,0.3206782372400752,0.27946429667688943,0.20209974272230094,0.16056726380218014,0.08187339369029228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,1.0,0.8473912007845326,0.765091822257349,0.618239197728497,0.5590347892761136,0.47580308248595093,0.4692965970261366,0.39715528896777097,0.35483227561257524,0.26913515652062053,0.16192065358310542,0.10027080690098022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,1.0,0.830200318411808,0.7259927439360535,0.6773866433600094,0.6183319140426098,0.4056239302389488,0.36489580728741255,0.23865730157908338,0.2126719112251073,0.17646559964367323,0.12317844707158744,0.09413510817563969,0.03761363219165993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
